"cc";"name";"domain";"url";"ori_amp_url";"amp_viewer_url";"amp_cdn_url"
"CA";"EZ Rock 99.1";"princerupert.myezrock.com";"http://www.iheartradio.ca/ez-rock/ez-rock-prince-rupert/shows/evenings-with-mason-1.3897728";NULL;NULL;NULL
"CA";"EZ Rock 99.1";"princerupert.myezrock.com";"http://www.iheartradio.ca/ez-rock/ez-rock-prince-rupert/shows/today-s-best-variety-1.1920217";NULL;NULL;NULL
"CA";"EZ Rock 99.1";"princerupert.myezrock.com";"http://www.iheartradio.ca/ez-rock/ez-rock-prince-rupert/shows/mornings-with-cole-1.2419804";NULL;NULL;NULL
"CA";"EZ Rock 99.1";"princerupert.myezrock.com";"http://www.iheartradio.ca/ez-rock/ez-rock-prince-rupert/shows/mid-days-with-colin-smith-1.1810208";NULL;NULL;NULL
"CA";"Chief";"www.squamishchief.com";"http://www.squamishchief.com//news/local-news/local-leaders-weigh-in-on-booking-proposal-for-joffre-lakes-provincial-park-1.23421524";NULL;NULL;NULL
"CA";"Chief";"www.squamishchief.com";"http://www.squamishchief.com//these-are-the-vancouver-locations-used-in-to-all-the-boys-i-ve-loved-before-1.23419022";NULL;NULL;NULL
"CA";"Farm Focus";"www.atlanticfarmfocus.ca";"http://www.atlanticfarmfocus.ca//new-blog/2017/12/13/atlantic-dairy-farmers-help-somadetect-win-1-million-prize";NULL;NULL;NULL
"CA";"Farm Focus";"www.atlanticfarmfocus.ca";"http://www.atlanticfarmfocus.ca//new-blog/2017/12/13/good-and-bad-news-at-ns-wild-blueberry-growers-agm";NULL;NULL;NULL
"CA";"Farm Focus";"www.atlanticfarmfocus.ca";"http://www.atlanticfarmfocus.ca//farm-focus-august-2017/2017/8/9/smaller-wild-blueberry-harvest-predicted-this-year";NULL;NULL;NULL
"AR";"La Radio 92.3";"www.laradiosanpedro.com.ar";"http://www.nortebonaerense.com.ar/noticias/el-municipio-de-campana-incorpor-nuevos-hidroelevadores-para-seguir-mejorando-los-servicios_549465.html";NULL;NULL;NULL
"AR";"El Periodico de Rincon";"www.elperiodicoderincon.com.ar";"javascript:XGOTO(http://www.prensamundo.com/c-argentina-periodicos-de-rincon-de-los-sauces.htm\")\"";NULL;NULL;NULL
"AE";"Al Ittihad";"www.alittihad.ae";"http://www.alittihad.ae//Article/62146/2018/الهلال\"-يدشن-عيادة-طبية-متنقلة-بالساحل-الغربي-لليمن\"";NULL;NULL;NULL
"AE";"Al Ittihad";"www.alittihad.ae";"http://www.alittihad.ae//Article/62153/2018/مذكرات-التكنولوجيا-لـ-الجميري\"-في-\"جدار-واحد\"\"";NULL;NULL;NULL
"AE";"Al Ittihad";"www.alittihad.ae";"http://www.alittihad.ae//Article/62261/2018/تكنولوجيا-النوم\"-تفرض-نفسها-على-معارض-الإلكترونيات\"";NULL;NULL;NULL
"AE";"Al Ittihad";"www.alittihad.ae";"http://www.alittihad.ae//Article/62156/2018/حكماء-المسلمين\"-يشارك-في-\"موسكو-الدولي-للكتاب\"\"";NULL;NULL;NULL
"AE";"Al Ittihad";"www.alittihad.ae";"http://www.alittihad.ae//Article/62262/2018/الأرصاد\"-يحذر-من-تدني-مدى-الرؤية-الأفقية-بسبب-الغبار\"";NULL;NULL;NULL
"AE";"Al Ittihad";"www.alittihad.ae";"http://www.alittihad.ae//Article/62211/2018/صادرات-الإمارات-تواجه-نيران\"-الحرب-التجارية-بالمرونة-والأسواق-البديلة\"";NULL;NULL;NULL
"CU";"Isla Vision";"www.islavision.icrt.cu";"http://www.islavision.icrt.cu/2018/09/03/aparece-misterioso-buque-myanmar-sin-tripulantes-carga/";NULL;NULL;NULL
"CU";"Victoria";"www.periodicovictoria.cu";"http://www.periodicovictoria.cu/iran-denuncia-bloqueo-impuesto-por-facebook-y-twitter-contra-hispantv/";NULL;NULL;NULL
"US";"WJHL";"www.wjhl.com";"https://media.wjhl.com/nxs-wjhltv-media-us-east-1/document_dev/2018/03/30/WJHL%20Tri-Cities%252cTN_EEO_Public_File%204-1-17%20to%203-31-18_1522415261775_38719066_ver1.0.pdf";NULL;NULL;NULL
"US";"East Tennessee Catholic";"etcatholic.org";"https://etcatholic.org/2018/08/ewtn-to-feature-series-by-cardinal-rigali/\"
US\"";NULL;NULL;NULL
"US";"East Tennessee Catholic";"etcatholic.org";"https://etcatholic.org/2018/08/father-peter-iorio-marks-25-years-as-a-priest/";NULL;NULL;NULL
"US";"East Tennessee Catholic";"etcatholic.org";"https://etcatholic.org/2018/08/developments-in-child-protection-cases-prompt-statement-by-bishop-stika/";NULL;NULL;NULL
"US";"East Tennessee Catholic";"etcatholic.org";"https://etcatholic.org/2018/08/praying-for-perspective-pope-francis-offers-hope-after-death-of-a-pet/";NULL;NULL;NULL
"US";"East Tennessee Catholic";"etcatholic.org";"https://etcatholic.org/2018/08/marriage-enrichment-making-eye-contact-makes-all-the-difference/";NULL;NULL;NULL
"US";"East Tennessee Catholic";"etcatholic.org";"https://etcatholic.org/2018/08/diocesan-evangelization-extends-far-beyond-east-tennessee/";NULL;NULL;NULL
"US";"East Tennessee Catholic";"etcatholic.org";"https://etcatholic.org/2016/12/father-joe-campbell-remembered-as-dioceses-gentle-giant/";NULL;NULL;NULL
